Time (s),Amplitude (µV)
0,-42
0.005760037,-44
0.011520074,-38
0.017280111,-51
0.023040147,-35
0.028800184,-41
0.034560221,-26
0.040320258,0
0.046080295,43
0.051840332,83
0.057600369,93
0.063360406,107
0.069120442,109
0.074880479,100
0.080640516,106
0.086400553,99
0.09216059,90
0.097920627,72
0.103680664,53
0.1094407,32
0.115200737,17
0.120960774,23
0.126720811,45
0.132480848,60
0.138240885,70
0.144000922,72
0.149760958,69
0.155520995,58
0.161281032,63
0.167041069,66
0.172801106,61
0.178561143,62
0.18432118,58
0.190081217,53
0.195841253,27
0.20160129,11
0.207361327,20
0.213121364,29
0.218881401,27
0.224641438,29
0.230401475,30
0.236161511,38
0.241921548,61
0.247681585,65
0.253441622,45
0.259201659,17
0.264961696,0
0.270721733,-11
0.276481769,-36
0.282241806,-54
0.288001843,-48
0.29376188,-39
0.299521917,-6
0.305281954,14
0.311041991,32
0.316802028,28
0.322562064,14
0.328322101,-3
0.334082138,-10
0.339842175,-3
0.345602212,-1
0.351362249,-9
0.357122286,-20
0.362882322,-43
0.368642359,-64
0.374402396,-87
0.380162433,-86
0.38592247,-81
0.391682507,-88
0.397442544,-105
0.40320258,-115
0.408962617,-127
0.414722654,-123
0.420482691,-126
0.426242728,-107
0.432002765,-106
0.437762802,-98
0.443522839,-102
0.449282875,-105
0.455042912,-105
0.460802949,-94
0.466562986,-59
0.472323023,-53
0.47808306,-40
0.483843097,-42
0.489603133,-52
0.49536317,-56
0.501123207,-46
0.506883244,-15
0.512643281,5
0.518403318,32
0.524163355,53
0.529923392,59
0.535683428,50
0.541443465,38
0.547203502,39
0.552963539,40
0.558723576,46
0.564483613,54
0.57024365,50
0.576003686,40
0.581763723,54
0.58752376,72
0.593283797,68
0.599043834,72
0.604803871,72
0.610563908,60
0.616323944,60
0.622083981,41
0.627844018,37
0.633604055,26
0.639364092,19
0.645124129,7
0.650884166,6
0.656644203,3
0.662404239,-15
0.668164276,-8
0.673924313,-22
0.67968435,-15
0.685444387,-28
0.691204424,-19
0.696964461,-14
0.702724497,-4
0.708484534,10
0.714244571,22
0.720004608,33
0.725764645,55
0.731524682,78
0.737284719,95
0.743044755,95
0.748804792,101
0.754564829,101
0.760324866,94
0.766084903,91
0.77184494,84
0.777604977,73
0.783365014,55
0.78912505,48
0.794885087,35
0.800645124,24
0.806405161,13
0.812165198,13
0.817925235,-13
0.823685272,-33
0.829445308,-44
0.835205345,-19
0.840965382,-1
0.846725419,32
0.852485456,64
0.858245493,82
0.86400553,105
0.869765566,106
0.875525603,118
0.88128564,116
0.887045677,118
0.892805714,118
0.898565751,103
0.904325788,88
0.910085825,72
0.915845861,49
0.921605898,18
0.927365935,-9
0.933125972,-35
0.938886009,-54
0.944646046,-81
0.950406083,-99
0.956166119,-115
0.961926156,-120
0.967686193,-106
0.97344623,-72
0.979206267,-51
0.984966304,-27
0.990726341,-9
0.996486378,5
1.002246414,8
1.008006451,11
1.013766488,34
1.019526525,42
1.025286562,57
1.031046599,30
1.036806636,-6
1.042566672,-71
1.048326709,-111
1.054086746,-153
1.059846783,-183
1.06560682,-185
1.071366857,-154
1.077126894,-121
1.08288693,-67
1.088646967,-27
1.094407004,6
1.100167041,13
1.105927078,9
1.111687115,14
1.117447152,7
1.123207189,6
1.128967225,27
1.134727262,41
1.140487299,77
1.146247336,94
1.152007373,82
1.15776741,58
1.163527447,32
1.169287483,10
1.17504752,21
1.180807557,22
1.186567594,33
1.192327631,33
1.198087668,12
1.203847705,-5
1.209607741,-10
1.215367778,-27
1.221127815,-25
1.226887852,-2
1.232647889,21
1.238407926,45
1.244167963,49
1.249928,63
1.255688036,72
1.261448073,62
1.26720811,70
1.272968147,81
1.278728184,90
1.284488221,72
1.290248258,54
1.296008294,17
1.301768331,-29
1.307528368,-54
1.313288405,-90
1.319048442,-105
1.324808479,-123
1.330568516,-121
1.336328553,-124
1.342088589,-127
1.347848626,-114
1.353608663,-93
1.3593687,-62
1.365128737,-31
1.370888774,-7
1.376648811,-3
1.382408847,-14
1.388168884,-20
1.393928921,-15
1.399688958,-21
1.405448995,-22
1.411209032,-31
1.416969069,-49
1.422729105,-66
1.428489142,-59
1.434249179,-57
1.440009216,-53
1.445769253,-53
1.45152929,-46
1.457289327,-34
1.463049364,-38
1.4688094,-33
1.474569437,-33
1.480329474,-41
1.486089511,-36
1.491849548,-30
1.497609585,-9
1.503369622,3
1.509129658,18
1.514889695,43
1.520649732,58
1.526409769,88
1.532169806,105
1.537929843,109
1.54368988,105
1.549449916,94
1.555209953,80
1.56096999,46
1.566730027,23
1.572490064,20
1.578250101,6
1.584010138,-1
1.589770175,-9
1.595530211,-12
1.601290248,-23
1.607050285,-22
1.612810322,-16
1.618570359,-27
1.624330396,-31
1.630090433,-21
1.635850469,-4
1.641610506,16
1.647370543,37
1.65313058,52
1.658890617,50
1.664650654,42
1.670410691,27
1.676170727,25
1.681930764,7
1.687690801,3
1.693450838,5
1.699210875,10
1.704970912,14
1.710730949,11
1.716490986,4
1.722251022,-10
1.728011059,-21
1.733771096,-19
1.739531133,-32
1.74529117,-26
1.751051207,-23
1.756811244,-22
1.76257128,-29
1.768331317,-40
1.774091354,-40
1.779851391,-39
1.785611428,-46
1.791371465,-44
1.797131502,-43
1.802891539,-53
1.808651575,-52
1.814411612,-46
1.820171649,-43
1.825931686,-31
1.831691723,-14
1.83745176,8
1.843211797,7
1.848971833,14
1.85473187,12
1.860491907,5
1.866251944,20
1.872011981,16
1.877772018,12
1.883532055,-8
1.889292091,-14
1.895052128,-28
1.900812165,-18
1.906572202,-6
1.912332239,26
1.918092276,41
1.923852313,56
1.92961235,57
1.935372386,61
1.941132423,53
1.94689246,26
1.952652497,10
1.958412534,-27
1.964172571,-52
1.969932608,-65
1.975692644,-82
1.981452681,-102
1.987212718,-133
1.992972755,-150
1.998732792,-165
2.004492829,-168
2.010252866,-167
2.016012902,-166
2.021772939,-159
2.027532976,-144
2.033293013,-114
2.03905305,-82
2.044813087,-67
2.050573124,-52
2.056333161,-35
2.062093197,-44
2.067853234,-25
2.073613271,-8
2.079373308,14
2.085133345,19
2.090893382,26
2.096653419,27
2.102413455,26
2.108173492,31
2.113933529,27
2.119693566,17
2.125453603,31
2.13121364,29
2.136973677,38
2.142733713,11
2.14849375,5
2.154253787,-5
2.160013824,0
2.165773861,13
2.171533898,39
2.177293935,77
2.183053972,79
2.188814008,98
2.194574045,96
2.200334082,87
2.206094119,80
2.211854156,69
2.217614193,52
2.22337423,31
2.229134266,18
2.234894303,16
2.24065434,10
2.246414377,-7
2.252174414,5
2.257934451,-9
2.263694488,2
2.269454525,-2
2.275214561,6
2.280974598,13
2.286734635,18
2.292494672,31
2.298254709,48
2.304014746,49
2.309774783,62
2.315534819,91
2.321294856,96
2.327054893,98
2.33281493,90
2.338574967,67
2.344335004,39
2.350095041,11
2.355855077,-2
2.361615114,-33
2.367375151,-26
2.373135188,-14
2.378895225,-15
2.384655262,3
2.390415299,-32
2.396175336,-34
2.401935372,-47
2.407695409,-29
2.413455446,-6
2.419215483,34
2.42497552,66
2.430735557,109
2.436495594,115
2.44225563,102
2.448015667,96
2.453775704,89
2.459535741,86
2.465295778,94
2.471055815,67
2.476815852,44
2.482575888,3
2.488335925,-14
2.494095962,-31
2.499855999,-29
2.505616036,-51
2.511376073,-60
2.51713611,-91
2.522896147,-105
2.528656183,-114
2.53441622,-111
2.540176257,-127
2.545936294,-127
2.551696331,-98
2.557456368,-77
2.563216405,-71
2.568976441,-67
2.574736478,-66
2.580496515,-45
2.586256552,-36
2.592016589,-14
2.597776626,-9
2.603536663,1
2.609296699,13
2.615056736,32
2.620816773,44
2.62657681,55
2.632336847,58
2.638096884,53
2.643856921,28
2.649616958,29
2.655376994,16
2.661137031,8
2.666897068,9
2.672657105,6
2.678417142,20
2.684177179,18
2.689937216,5
2.695697252,4
2.701457289,-3
2.707217326,-6
2.712977363,-6
2.7187374,-16
2.724497437,-12
2.730257474,-4
2.736017511,-1
2.741777547,-4
2.747537584,2
2.753297621,12
2.759057658,17
2.764817695,39
2.770577732,44
2.776337769,51
2.782097805,36
2.787857842,37
2.793617879,36
2.799377916,38
2.805137953,34
2.81089799,43
2.816658027,27
2.822418063,1
2.8281781,-23
2.833938137,-34
2.839698174,-46
2.845458211,-58
2.851218248,-41
2.856978285,-22
2.862738322,-3
2.868498358,7
2.874258395,20
2.880018432,35
2.885778469,73
2.891538506,95
